Id|CoralName|Order|IconName|UnlockType|UnlockTarget|UnlockValue|UnlockDesc|AddFishMaxCount|CostType|CostId|CostCnt|ProductAmount
int|string|int|string|unlocktype|int|int|string|int|int|int|string|string
1|coral_1_name|1|Icon_CoralIcon@1|0|0|0|coral_unlock_stone_level_desc|5|1|0|0|100
2|coral_2_name|2|Icon_CoralIcon@2|0|0|0|coral_unlock_stone_level_desc|5|1|0|86400|1300
3|coral_3_name|3|Icon_CoralIcon@3|0|0|0|coral_unlock_stone_level_desc|5|1|0|22118400|26000
4|coral_4_name|4|Icon_CoralIcon@4|0|0|0|coral_unlock_stone_level_desc|5|1|0|16588800000|860000
5|coral_5_name|5|Icon_CoralIcon@5|0|0|0|coral_unlock_stone_level_desc|5|1|0|28665446400000|51000000
6|coral_6_name|6|Icon_CoralIcon@6|3|0|500|coral_unlock_stone_level_desc|5|1|0|98322481152000000|1400000000
7|coral_7_name|7|Icon_CoralIcon@7|3|0|500|coral_unlock_stone_level_desc|5|1|0|604093324197888000000|142000000000
8|coral_8_name|8|Icon_CoralIcon@8|3|0|500|coral_unlock_stone_level_desc|5|1|0|6165376466763650000000000|6900000000000
9|coral_9_name|9|Icon_CoralIcon@9|3|0|500|coral_unlock_stone_level_desc|5|1|0|98646023468218300000000000000|630000000000000
10|coral_10_name|10|Icon_CoralIcon@10|3|0|1000|coral_unlock_stone_level_desc|5|1|0|2363361430251570000000000000000000|57000000000000000
11|coral_11_name|11|Icon_CoralIcon@11|3|0|1000|coral_unlock_stone_level_desc|5|1|0|81677771029494400000000000000000000000|4900000000000000000
12|coral_12_name|12|Icon_CoralIcon@12|3|0|1000|coral_unlock_stone_level_desc|5|1|0|3947813384939580000000000000000000000000000|412000000000000000000
13|coral_13_name|13|Icon_CoralIcon@13|3|0|1000|coral_unlock_stone_level_desc|5|1|0|259987198278581000000000000000000000000000000000|69000000000000000000000
14|coral_14_name|14|Icon_CoralIcon@14|3|0|1000|coral_unlock_stone_level_desc|5|1|0|22813876648945500000000000000000000000000000000000000|11000000000000000000000000
15|coral_15_name|15|Icon_CoralIcon@15|3|0|1500|coral_unlock_stone_level_desc|5|1|0|3265767650591920000000000000000000000000000000000000000000000000000000000000000000000000|120835132491823000000000000000000000000
16|coral_16_name|16|Icon_CoralIcon@16|3|0|2500|coral_unlock_stone_level_desc|5|1|0|246514339352106000000000000000000000000000000000000000000000000|246514339352106000000000000000000000000000000000000000000000000
17|coral_17_name|17|Icon_CoralIcon@17|3|0|3500|coral_unlock_stone_level_desc|5|1|0|11196854213846000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|419434355512111000000000000000000000000000000000000000000000000000000000000000000000000
18|coral_18_name|18|Icon_CoralIcon@18|3|0|5000|coral_unlock_stone_level_desc|5|1|0|158645982718436000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|799609813811349000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
19|coral_19_name|19|Icon_CoralIcon@19|3|0|6500|coral_unlock_stone_level_desc|5|1|0|92893312481979800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|1161778233928540000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
