type|value|number
string|string|int
language_type|ko|0
language_type|en|1
language_type|jp|2
attribute_type|atk|1
attribute_type|atkSpeed|2
attribute_type|hp|3
tutotype|touch|0
tutotype|button|1
tutotype|stone_touch|2
itemtype|none|0
itemtype|heart|1
itemtype|gem|2
itemtype|gem_free|3
itemtype|heartTimeReward|4
itemtype|fish|5
itemtype|adRandomReward|6
itemtype|pearl|7
itemtype|TearStone|8
itemtype|fishticket|9
itemtype|ad|1000
itemtype|iap|1001
fishtype|normal|1
fishtype|hidden|2
fishtype|evolution|3
fishtype|event|4
unlocktype|none|0
unlocktype|buy_coral|1
unlocktype|have_fish_kind|2
unlocktype|stone_levelup|3
unlocktype|have_fish|4
unlocktype|coral_levelup|5
unlocktype|attendance_count|6
unlocktype|login_count_per_day|7
unlocktype|use_skill|8
unlocktype|skill_levelup|9
unlocktype|artifact_levelup|10
unlocktype|have_fish_normal_type|11
unlocktype|daily_mission_clear|16
unlocktype|ad_view|20
unlocktype|set_fish_kind|24
unlocktype|touch_stone|34
unlocktype|use_heart|82
unlocktype|fish_create|114
unlocktype|create_new_fish_type|61
unlocktype|use_pearl|1002
unlocktype|use_gem|80
unlocktype|guide_mission_clear|1003
unlocktype|open_mystery_box|103
unlocktype|have_fish_all|1001
unlocktype|skill_levelup_all|1004
unlocktype|artifact_levelup_all|1005
unlocktype|fish_create_all|1006
unlocktype|coral_levelup_all|1007
unlocktype|have_fish_hidden_type|1008
unlocktype|have_fish_evol_type|1009
unlocktype|count_play_time|1010
unlocktype|use_target_skill|1011
EventLogType|normal|1
EventLogType|tutorial|2
EventLogType|watch_ad|3
EventLogType|stone_level|4
EventLogType|evolution|5
EventLogType|guide_mission|6
EventLogType|buy_dia|7
