Id|ko|en|jp
string|string|string|string
common_artifact_name_all|모든 아티팩트|All Artifacts|모든 아티팩트
common_fish_all|모든 물고기|All Fish|모든 물고기
common_skill_name_all|모든 스킬|All Skills|모든 스킬
common_coral_name_all|모든 산호|All Corals|모든 산호
buy_coral|{0} 구매하기 |Purchase {0}|{0} 산호 구매하기
have_fish_kind|{0} 류 {1} 마리 보유하기|Own {0} fish of the {1} type|{0} 류 {1} 마리 보유하기
stone_levelup|산호석 {0} 레벨 달성하기|Reach Corallite Lv. {0}|산호석 {0} 레벨 달성하기
have_fish|{0} 물고기 {1} 마리 보유하기|Own {0} x{1}|{0} 물고기 {1} 마리 보유하기
coral_levelup|{0} {1} 레벨 달성하기|Reach {0} Lv. {1}|{0} 산호 {1} 레벨 달성하기
attendance_count|어비스리움 출석하기 {0}회|Attend Abyssrium {0} time(s)|어비스리움 출석하기 {0}회
login_count_per_day|하루 {0} 번 접속하기|Log in {0} time(s) a day|
use_skill|아무 스킬이나 {0}번 사용하기|Use any skill {0} time(s)|스킬{0}회 사용
skill_levelup|{0} 스킬 {1}레벨 달성하기|Reach {0} Skill Lv. {1}|{0} 스킬 {1}레벨 달성하기
artifact_levelup|{0} 아티팩트 {1}레벨 달성하기|Reach {0} Artifact Lv. {1}|{0} 아티팩트 {1}레벨 달성하기
have_fish_species|물고기 {0}종 수집하기|Collect {0} species of fish|
daily_mission_clear|일일 미션 클리어하기 {0}회|Clear Daily Mission {0} time(s)|
ad_view|광고 시청 {0}회|Watch an ad {0} time(s)|
set_fish_kind|{0} 류 {1} 마리 배치하기|Place {1} fish of the {0} type|{0} 류 {1} 마리 배치하기
touch_stone|산호석 {0}회 터치하기|Tap Corallite {0} time(s)|
use_heart|생명력 {0}개 사용하기|Use {0} Vitality|
fish_create|물고기 {0}마리 창조하기|Create fish x{0}|
create_new_fish_type|사용안함|Not Used|
use_pearl|진주 사용하기 {0}개|Use {0} Pearls|
use_gem|보석 {0}개 사용하기|Use {0} Gems|
guide_mission_clear|가이드 미션 클리어하기 {0}회|Clear Guide Mission {0} time(s)|
open_mystery_box|신비의 상자 {0}회 열어보기|Open Mystery Chest {0} time(s)|
have_fish_all|어비스리움 물고기 {0} 마리 보유하기|Own {0} Abyssrium fish|
skill_levelup_all|모든 스킬 {0} 레벨 달성하기|Reach Lv. {0} for all Skills|
artifact_levelup_all|모든 아티팩트 {0} 레벨 달성하기|Reach Lv. {0} for all Artifacts|
fish_create_all|아무 물고기 {0} 마리 새로 창조하기|Create any {0} new fish|
coral_levelup_all|모든 산호 레벨 합계 {0} 달성하기|Reach Total Coral Lv. {0}|
have_fish_normal_type|일반 물고기 {0} 종 수집하기|Collect {0} species of Normal Fish|
have_fish_hidden_type|히든 물고기 {0} 종 수집하기|Collect {0} species of Hidden Fish|
